,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
6,MLS Listing,,Multi-Family (5+ Unit),3006 N 124th St,Wauwatosa,WI,53222,829900,,,Wauwatosa,,13503.0,1967,13,,,Active,,,http://www.redfin.com/WI/Wauwatosa/3006-N-124th-St-53222/home/90305257,METROMLS,1672819,N,Y,43.073034,-88.06621729999999,207475.0,622425.0,-3120.4546922998356,-1339.5969166666666,-311.2125,,1.297577855,2777.579890791177,-277.75798907911775,-277.75798907911775,-277.75798907911775,-277.75798907911775,-100,0,-100,-3304.7161744917953,-0.19113914492783007
18,MLS Listing,,Multi-Family (5+ Unit),3287 S Kinnickinnic Ave,Milwaukee,WI,53207,649900,,,Milwaukee,,6969.0,1928,187,,,Active,,,http://www.redfin.com/WI/Milwaukee/3287-S-Kinnickinnic-Ave-53207/home/90243705,METROMLS,1649791,N,Y,42.984939399999995,-87.8820628,162475.0,487425.0,-2443.6480353363813,-1049.0469166666664,-243.71249999999998,,1.297577855,2777.579890791177,-277.75798907911775,-277.75798907911775,-277.75798907911775,-277.75798907911775,-100,0,-100,-2269.8595175283417,-0.1676461868616101
15,MLS Listing,,Multi-Family (2-4 Unit),6324 W Euclid Ave #6326,Milwaukee,WI,53219,185000,6.0,2.0,Milwaukee,952.0,6969.0,1953,141,194.0,,Active,,,http://www.redfin.com/WI/Milwaukee/6324-W-Euclid-Ave-53219/unit-6326/home/168934002,METROMLS,1657841,N,Y,42.986833000000004,-87.9907939,46250.0,138750.0,-695.6068418791053,-298.62083333333334,-69.37499999999999,,1.297577855,1235.29411796,-123.529411796,-123.529411796,-123.529411796,-123.529411796,-100,0,-100,-522.4262044364386,-0.13554842061053543
12,MLS Listing,,Multi-Family (2-4 Unit),3057 N 121st St,Wauwatosa,WI,53222,429900,,,Wauwatosa,,20473.0,1956,90,,,Active,,,http://www.redfin.com/WI/Wauwatosa/3057-N-121st-St-53222/home/90333587,METROMLS,1665630,N,Y,43.074192100000005,-88.0641489,107475.0,322425.0,-1616.4398990477157,-693.9302499999999,-161.2125,,1.297577855,2777.579890791177,-277.75798907911775,-277.75798907911775,-277.75798907911775,-277.75798907911775,-100,0,-100,-1005.0347145730095,-0.11221601837521392
20,For-Sale-by-Owner Listing,,Multi-Family (2-4 Unit),3203 S Illinois Ave,Milwaukee,WI,53207,330000,4.0,2.0,Milwaukee,1810.0,,1910,247,182.0,,Active,,,http://www.redfin.com/WI/Milwaukee/3203-S-Illinois-Ave-53207/home/90244784,Fizber.com,5017565,N,Y,42.9864206,-87.8749885,82500.0,247500.0,-1240.8122044329987,-532.675,-123.75,,1.297577855,2348.6159175499997,-234.86159175499998,-234.86159175499998,-234.86159175499998,-234.86159175499998,-100,0,-100,-688.0676539029988,-0.10008256784043619
17,MLS Listing,,Multi-Family (2-4 Unit),1430 E Russell Ave Unit -1434,Milwaukee,WI,53207,499500,,,Milwaukee,3000.0,5227.0,1990,166,167.0,,Active,,,http://www.redfin.com/WI/Milwaukee/1430-E-Russell-Ave-53207/unit-1434/home/58066041,METROMLS,1652768,N,Y,42.9987549,-87.890789,124875.0,374625.0,-1878.1384730735845,-806.2762499999999,-187.3125,,1.297577855,3892.7335649999995,-389.2733565,-389.2733565,-389.2733565,-389.2733565,-100,0,-100,-736.0870840735847,-0.07073509516623036
3,MLS Listing,,Multi-Family (2-4 Unit),2960 S Delaware St #2958,Milwaukee,WI,53207,279000,6.0,2.0,Milwaukee,2204.0,3484.0,1909,3,127.0,,Active,,,http://www.redfin.com/WI/Milwaukee/2960-S-Delaware-Ave-53207/unit-2958/home/112348739,METROMLS,1674017,N,Y,42.9902814,-87.88080479999999,69750.0,209250.0,-1049.0503182933535,-450.35249999999996,-104.625,,1.297577855,2859.86159242,-285.986159242,-285.986159242,-285.986159242,-285.986159242,-100,0,-100,-88.11086284135354,-0.01515885812324362
9,MLS Listing,,Multi-Family (2-4 Unit),3834 S Brust Ave,Milwaukee,WI,53207,310000,,,Milwaukee,2542.0,6534.0,1951,70,122.0,,Active,,,http://www.redfin.com/WI/Milwaukee/3834-S-Brust-Ave-53207/home/90378523,METROMLS,1668134,N,Y,42.974782,-87.88921440000001,77500.0,232500.0,-1165.6114647703928,-500.39166666666665,-116.25,,1.297577855,3298.44290741,-329.844290741,-329.844290741,-329.844290741,-329.844290741,-100,0,-100,-3.1873869910594976,-0.0004935308889382448
10,MLS Listing,,Multi-Family (2-4 Unit),4802A W Cleveland Ave Unit 4802B,Milwaukee,WI,53219,208500,4.0,2.0,Milwaukee,1860.0,6534.0,1947,81,112.0,,Active,,,http://www.redfin.com/WI/Milwaukee/4802A-W-Cleveland-Ave-53219/unit-4802B/home/169650248,METROMLS,1666754,N,Y,42.9959499,-87.9741999,52125.0,156375.0,-783.9677109826673,-336.55375,-78.18749999999999,,1.297577855,2413.4948102999997,-241.34948103,-241.34948103,-241.34948103,-241.34948103,-100,0,-100,49.38792519733238,0.011369882059817525
5,MLS Listing,,Multi-Family (5+ Unit),5901 W Burnham St #5915,West Allis,WI,53219,244900,,,West Allis,,3484.0,1928,10,,,Active,,,http://www.redfin.com/WI/West-Allis/5901-W-Burnham-St-53219/unit-5915/home/170304691,METROMLS,1673184,N,Y,43.010057,-87.98633659999999,61225.0,183675.0,-920.8330571686101,-395.30941666666666,-91.83749999999999,,1.297577855,2777.579890791177,-277.75798907911775,-277.75798907911775,-277.75798907911775,-277.75798907911775,-100,0,-100,58.56796063942903,0.01147922462512288
4,MLS Listing,,Multi-Family (2-4 Unit),623 E Potter Ave,Milwaukee,WI,53207,186000,4.0,2.0,Milwaukee,1736.0,3484.0,1899,9,107.0,,Active,,,http://www.redfin.com/WI/Milwaukee/623-E-Potter-Ave-53207/home/90237963,METROMLS,1673338,N,Y,42.996234,-87.90094309999999,46500.0,139500.0,-699.3668788622356,-300.23499999999996,-69.74999999999999,,1.297577855,2252.5951562799996,-225.25951562799997,-225.25951562799997,-225.25951562799997,-225.25951562799997,-100,0,-100,82.20521490576436,0.021214249007939192
16,MLS Listing,,Multi-Family (2-4 Unit),5613 W Rogers St,West Allis,WI,53219,147000,6.0,2.0,West Allis,1584.0,3484.0,1912,147,93.0,,Active,,,http://www.redfin.com/WI/West-Allis/5613-W-Rogers-St-53219/home/90311611,METROMLS,1656789,N,Y,43.0081119,-87.983228,36750.0,110250.0,-552.725436520154,-237.2825,-55.125,,1.297577855,2055.36332232,-205.536332232,-205.536332232,-205.536332232,-205.536332232,-100,0,-100,188.08505687184623,0.061415528774480393
1,MLS Listing,,Multi-Family (2-4 Unit),5607 W Burnham St #5609,West Allis,WI,53219,159900,4.0,2.0,West Allis,1703.0,3484.0,1977,2,94.0,,Active,,,http://www.redfin.com/WI/West-Allis/5607-W-Burnham-St-53219/unit-5609/home/145467167,METROMLS,1674192,N,Y,43.0099972,-87.9830074,39975.0,119925.0,-601.2299136025348,-258.10525,-59.9625,,1.297577855,2209.7750870649998,-220.97750870649998,-220.97750870649998,-220.97750870649998,-220.97750870649998,-100,0,-100,206.56738863646478,0.062008972198563536
11,MLS Listing,,Multi-Family (2-4 Unit),4033 W Howard Ave #4035,Greenfield,WI,53221,249000,4.0,2.0,Greenfield,2708.0,8712.0,1990,89,92.0,,Active,,,http://www.redfin.com/WI/Greenfield/4033-W-Howard-Ave-53221/unit-4035/home/167421692,METROMLS,1665742,N,Y,42.973643100000004,-87.96560140000001,62250.0,186750.0,-936.2492087994445,-401.92749999999995,-93.375,,1.297577855,3513.8408313399996,-351.384083134,-351.384083134,-351.384083134,-351.384083134,-100,0,-100,476.75279000455555,0.09190415229003479
13,MLS Listing,,Multi-Family (2-4 Unit),4253 N 84th St #4255,Milwaukee,WI,53222,139900,4.0,2.0,Milwaukee,1753.0,5227.0,1955,109,80.0,,Active,,,http://www.redfin.com/WI/Milwaukee/4253-N-84th-St-53222/unit-4255/home/58069044,METROMLS,1662958,N,Y,43.09464570000001,-88.01787979999999,34975.0,104925.0,-526.0291739399288,-225.82191666666665,-52.4625,,1.297577855,2274.6539798149997,-227.4653979815,-227.4653979815,-227.4653979815,-227.4653979815,-100,0,-100,360.47879728240423,0.1236810741211966
7,MLS Listing,,Multi-Family (2-4 Unit),8423 W Keefe Ave #8425,Milwaukee,WI,53222,163900,4.0,2.0,Milwaukee,2344.0,6098.0,1956,38,70.0,,Active,,,http://www.redfin.com/WI/Milwaukee/8423-W-Keefe-Ave-53222/unit-8425/home/146369097,METROMLS,1670684,N,Y,43.0821929,-88.018325,40975.0,122925.0,-616.270061535056,-264.56191666666666,-61.4625,,1.297577855,3041.5224921199997,-304.15224921199996,-304.15224921199996,-304.15224921199996,-304.15224921199996,-100,0,-100,682.6190170702771,0.19991282989245454
0,MLS Listing,,Multi-Family (2-4 Unit),3935 N 100th St,Milwaukee,WI,53222,219000,,,Milwaukee,3150.0,6098.0,1957,1,70.0,,Active,,,http://www.redfin.com/WI/Milwaukee/3935-N-100th-St-53222/home/90209797,METROMLS,1673548,N,Y,43.088547600000005,-88.03802809999999,54750.0,164250.0,-823.4480993055354,-353.5025,-82.12499999999999,,1.297577855,4087.3702432499995,-408.737024325,-408.737024325,-408.737024325,-408.737024325,-100,0,-100,993.3465466444643,0.21771979104536204
8,MLS Listing,,Multi-Family (2-4 Unit),3817 N 77th St #3819,Milwaukee,WI,53222,137500,6.0,2.0,Nash Park,2080.0,4791.0,1955,66,66.0,,Active,,,http://www.redfin.com/WI/Milwaukee/3817-N-77th-St-53222/unit-3819/home/90353257,METROMLS,1668432,N,Y,43.0867205,-88.00891740000002,34375.0,103125.0,-517.0050851804161,-221.94791666666663,-51.5625,,1.297577855,2698.9619384,-269.89619383999997,-269.89619383999997,-269.89619383999997,-269.89619383999997,-100,0,-100,628.8616611929169,0.21952988899825462
14,MLS Listing,,Multi-Family (2-4 Unit),5508 W Rogers St,West Allis,WI,53219,84900,4.0,2.0,West Allis,1496.0,3484.0,1926,120,57.0,,Active,,,http://www.redfin.com/WI/West-Allis/5508-W-Rogers-St-53219/home/90336296,METROMLS,1661399,N,Y,43.008604999999996,-87.981937,21225.0,63675.0,-319.2271398677624,-137.04274999999998,-31.837499999999995,,1.297577855,1941.1764710799998,-194.117647108,-194.117647108,-194.117647108,-194.117647108,-100,0,-100,476.59849278023717,0.2694549782503108
19,MLS Listing,,Multi-Family (2-4 Unit),2203 S 5th Pl,Milwaukee,WI,53207,105900,,,Milwaukee,2608.0,3049.0,1903,234,41.0,,Active,,,http://www.redfin.com/WI/Milwaukee/2203-S-5th-Pl-53207/home/58054955,METROMLS,1640975,N,Y,43.0045451,-87.9179857,26475.0,79425.0,-398.18791651349864,-170.94025,-39.7125,,1.297577855,3384.0830458399996,-338.408304584,-338.408304584,-338.408304584,-338.408304584,-100,0,-100,1221.609160990501,0.5537038690041931
2,MLS Listing,,Multi-Family (2-4 Unit),3624 N 86th St Unit 3264A,Milwaukee,WI,53222,115000,6.0,2.0,Milwaukee,2860.0,5227.0,1955,2,40.0,,Active,,,http://www.redfin.com/WI/Milwaukee/3624-N-86th-St-53222/unit-3264A/home/170405534,METROMLS,1674170,N,Y,43.083927,-88.019755,28750.0,86250.0,-432.4042530599844,-185.62916666666663,-43.125,,1.297577855,3711.0726652999997,-371.10726653,-371.10726653,-371.10726653,-371.10726653,-100,0,-100,1365.4851794533488,0.5699416401196586
