zip_code,july_2019_price,july_2018_price,Appreciation
3491,888300,866900,2%
4406,569100,559800,2%
5465,574400,574100,0%
5534,269200,258100,4%
6021,648900,652800,-1%
6395,480100,457000,5%
6822,2648300,2686100,-1%
8384,758200,763700,-1%
9840,760200,722500,5%
10241,472900,460300,3%
10389,2632400,2686500,-2%
10608,571800,572000,0%
10723,535900,517000,4%
10734,510900,502400,2%
10774,679000,680300,0%
11626,572100,575000,-1%
12292,581400,574000,1%
12447,656200,643600,2%
12520,2982400,2979500,0%
12773,716400,717900,0%
13232,274300,248400,10%
13693,885300,882200,0%
13716,496300,486000,2%
14111,758600,756500,0%
14542,546700,544200,0%
14634,566000,567000,0%
15237,649900,656400,-1%
15554,664600,674000,-1%
16389,801000,783200,2%
16691,687500,642700,7%
16764,586000,580200,1%
16961,481100,467600,3%
17150,663800,674600,-2%
17597,894700,904200,-1%
17686,1058300,1058700,0%
17882,486600,461000,6%
18874,571900,571000,0%
18875,820900,837800,-2%
19177,2163000,2159400,0%
20008,426300,420400,1%
21412,726500,739300,-2%
21778,452100,432700,4%
22827,569400,563800,1%
24174,420700,398500,6%
24245,528000,528000,0%
24384,624400,638900,-2%
24435,534000,525800,2%
24812,617700,620200,0%
24832,609400,596900,2%
25218,788300,784200,1%
25458,666100,673100,-1%
25459,807100,813500,-1%
25468,301600,299800,1%
25621,297300,279400,6%
25953,535700,530100,1%
26483,492600,479500,3%
26531,655300,664000,-1%
26964,1938600,1989500,-3%
27103,647900,637400,2%
27183,1250200,1142100,9%
27491,718800,717400,0%
29189,282500,275400,3%
29712,1572300,1634300,-4%
30187,840300,831700,1%
30267,583400,585100,0%
30399,465100,442000,5%
30908,610500,622700,-2%
31134,442000,423500,4%
32380,696800,693900,0%
32616,450000,432700,4%
32753,451900,426800,6%
32923,729400,718700,1%
33252,668600,667800,0%
33311,1653400,1634700,1%
33312,1394300,1410600,-1%
33612,1053400,1055300,0%
33727,1180800,1183600,0%
33836,584200,583900,0%
33837,756600,770100,-2%
33840,683900,697900,-2%
34636,685000,689000,-1%
34780,647400,634900,2%
36502,487100,484800,0%
37015,465700,446000,4%
37086,651400,666800,-2%
37688,882400,881700,0%
38032,774200,777800,0%
39076,461600,438500,5%
39306,458000,448400,2%
39308,605700,602300,1%
40009,2227500,2172500,3%
40081,922300,918800,0%
40227,286400,273100,5%
42150,645300,605500,7%
42967,548300,534100,3%
44116,529600,519700,2%
44833,623900,631500,-1%
45398,573900,546300,5%
45457,899000,889000,1%
45602,547600,539100,2%
45888,600300,577100,4%
46080,1420300,1441800,-1%
46098,620600,586400,6%
46178,613200,566700,8%
46298,661800,653100,1%
46314,969800,966100,0%
47019,896200,894100,0%
47547,499200,486400,3%
47568,554200,541600,2%
47695,1031700,1051400,-2%
47762,468200,444800,5%
48424,1640000,1703300,-4%
50677,682700,681000,0%
50749,945900,965500,-2%
51617,1260400,1257700,0%
51861,499400,505200,-1%
52650,816800,815200,0%
52835,661700,665200,-1%
52842,2249100,2305600,-2%
53027,688700,667900,3%
53571,1917000,1950500,-2%
53636,489800,477900,2%
54053,1173000,1153600,2%
54212,610300,589600,4%
54299,1849900,1896400,-2%
54311,528600,523100,1%
54352,1039900,1043100,0%
54722,810300,804700,1%
54970,1085200,1120800,-3%
55753,1230900,1238500,-1%
56780,1345200,1465700,-8%
113412,644600,608600,6%
113576,533200,528800,1%
114828,579700,574200,1%
114834,991700,953600,4%
115391,325500,316400,3%
116042,1267600,1214200,4%
118217,424400,419800,1%
118225,515000,507900,1%
118694,491800,473300,4%
118875,515900,491500,5%
118878,568200,541500,5%
118895,479900,463800,3%
118914,486100,467500,4%
118994,433100,402200,8%
272578,475300,451700,5%
396053,394600,369400,7%
396054,856800,828800,3%
396550,921000,856500,8%
396551,895100,893600,0%
396556,489500,482300,1%